 * Serving Flask app "__main__" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:7000/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Jun/2018 13:52:09] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:52:29] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:53:21] "POST /v1/phone/storage HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:14] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:24] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:25] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:25] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:26] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:31] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:47] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:47] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:55:47] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:56:47] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:56:50] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:00] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:01] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:01] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:01] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:02] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:02] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:02] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:02] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:12] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:15] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:17] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:26] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:27] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:27] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:27] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:30] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:33] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:37] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:38] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:39] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:47] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:48] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:57:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:58:52] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:59:19] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 13:59:33] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:01:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:04:17] "GET /v1/home/notice/all_list HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:04:42] "GET /v1/home/notice/7 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:04:54] "GET /v1/home/notice/all_list HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:04:56] "GET /v1/home/notice/9 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:04:59] "GET /v1/home/notice/all_list HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:01] "GET /v1/home/notice/2 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:03] "GET /v1/home/notice/all_list HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:05] "GET /v1/home/notice/list?page=1&size=8 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:10] "GET /v1/home/notice/all_list HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:36] "GET /v1/upload/filelist?starttime=&endtime= HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:37] "GET /v1/complain/twentyFour/chart?starttime=&endtime=&type=%E6%8A%95%E8%AF%89%E5%A4%84%E7%90%86%E5%8F%8A%E6%97%B6%E7%8E%87 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:37] "GET /v1/complain/twentyFour/list?starttime=&endtime=&type=EMOS HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:40] "GET /v1/upload/filelist?starttime=&endtime= HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:44] "GET /v1/installed/twentyFour/chart?starttime=&endtime=&type=%E8%A3%85%E6%9C%BA%E5%8F%8A%E6%97%B6%E7%8E%87 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:44] "GET /v1/label/work HTTP/1.0" 200 -
